;img_path;msk_path;mode;weight
g0006;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\images_Glaucoma\g0006.jpg;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\Disc_Masks_bin\g0006.bmp;train;0.1
g0001;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\images_Glaucoma\g0001.jpg;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\Disc_Masks_bin\g0001.bmp;train;0.1
g0034;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\images_Glaucoma\g0034.jpg;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\Disc_Masks_bin\g0034.bmp;train;0.1
g0002;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\images_Glaucoma\g0002.jpg;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\Disc_Masks_bin\g0002.bmp;train;0.1
g0036;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\images_Glaucoma\g0036.jpg;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\Disc_Masks_bin\g0036.bmp;train;0.1
g0014;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\images_Glaucoma\g0014.jpg;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\Disc_Masks_bin\g0014.bmp;train;0.1
g0020;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\images_Glaucoma\g0020.jpg;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\Disc_Masks_bin\g0020.bmp;train;0.1
g0027;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\images_Glaucoma\g0027.jpg;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\Disc_Masks_bin\g0027.bmp;train;0.1
g0005;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\images_Glaucoma\g0005.jpg;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\Disc_Masks_bin\g0005.bmp;train;0.1
g0017;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\images_Glaucoma\g0017.jpg;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\Disc_Masks_bin\g0017.bmp;train;0.1
g0008;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\images_Glaucoma\g0008.jpg;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\Disc_Masks_bin\g0008.bmp;train;0.1
g0007;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\images_Glaucoma\g0007.jpg;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\Disc_Masks_bin\g0007.bmp;train;0.1
g0021;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\images_Glaucoma\g0021.jpg;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\Disc_Masks_bin\g0021.bmp;train;0.1
g0038;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\images_Glaucoma\g0038.jpg;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\Disc_Masks_bin\g0038.bmp;train;0.1
g0030;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\images_Glaucoma\g0030.jpg;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\Disc_Masks_bin\g0030.bmp;train;0.1
g0032;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\images_Glaucoma\g0032.jpg;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\Disc_Masks_bin\g0032.bmp;train;0.1
g0013;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\images_Glaucoma\g0013.jpg;C:\Users\Prinzessin\projects\image_data\iChallenge_Glaucoma_OD_Fovea\Disc_Masks_bin\g0013.bmp;train;0.1
